Subject,Type,Description,Parent,Priority,Estimated time,Assignee,Status,Start date,Finish date,Progress,Responsible,Accountable,Consulted,Informed,Acceptance Criteria,Definition of Ready,Definition of Done,AI Agent Instructions,Notes,Tags,Custom Field 1
"Phase 2: Backend Core Architecture","Phase","Establish the core backend architecture using NestJS and Hexagonal Architecture principles.

# High-Level Design (HLD)
- NestJS framework with TypeScript
- Hexagonal Architecture (Domain, Ports, Adapters)
- Event-driven communication via Redis Pub/Sub
- REST API for management and control
- WebSocket for real-time events
- Authentication and Authorization (JWT, RBAC)
- Database integration with TypeORM/Prisma
- Validation and Error Handling

# Architecture Decisions
- Domain logic must be pure TypeScript (no NestJS dependencies)
- Adapters handle external concerns (DB, Redis, Telephony)
- Ports define interfaces for adapters
- Use NestJS modules for feature isolation
- Centralized error handling and logging

# Deliverables
- packages/backend/src/domain (Pure TS)
- packages/backend/src/ports (Interfaces)
- packages/backend/src/adapters (Implementations)
- packages/backend/src/application (Use cases)
- packages/backend/src/infrastructure (NestJS modules)
- API documentation (Swagger)
- Unit and integration tests","","High","250h","","New","","","0%","","","","","","","","","backend,phase2","",""
"Epic: Backend Project Scaffolding","Epic","Set up the NestJS project structure and core modules.","Phase 2: Backend Core Architecture","High","40h","","New","","","0%","","","","","","","","","backend,scaffolding","",""
"Feature: Hexagonal Architecture Structure","Feature","Implement the directory structure for Hexagonal Architecture.","Epic: Backend Project Scaffolding","High","12h","","New","","","0%","","","","","","","","","backend,hexagonal","",""
"Task: Create core directory structure","Task","Create the core directory structure for the backend.

# Low-Level Design (LLD)
## Directory Structure
- `packages/backend/src/domain`: Pure business logic and models
- `packages/backend/src/ports`: Interfaces for external services
- `packages/backend/src/adapters`: Implementations of ports (DB, Redis, etc.)
- `packages/backend/src/application`: Use cases and application services
- `packages/backend/src/infrastructure`: NestJS specific modules, controllers, and providers

# Definition of Done (DOD)
- [ ] Directories created
- [ ] README.md in each directory explaining its purpose
- [ ] `tsconfig.json` configured to support path aliases (e.g., `@domain/*`)","Feature: Hexagonal Architecture Structure","Normal","4h","","New","","","0%","","","","","Directories exist and are documented","Structure design approved","Create directories and READMEs","NO MOCKS: Use real directory names.","","backend,structure",""
"Task: Configure NestJS path aliases","Task","Set up path aliases in tsconfig.json for cleaner imports.

# Low-Level Design (LLD)
## Aliases
- `@domain/*`: `src/domain/*`
- `@ports/*`: `src/ports/*`
- `@adapters/*`: `src/adapters/*`
- `@application/*`: `src/application/*`

# Definition of Done (DOD)
- [ ] `tsconfig.json` updated
- [ ] `package.json` updated if needed for runtime support","Feature: Hexagonal Architecture Structure","Normal","2h","","New","","","0%","","","","","Imports work with aliases","Alias list defined","Update tsconfig.json","NO MOCKS: Use standard NestJS alias patterns.","","backend,config",""
"Epic: Authentication & Authorization","Epic","Implement JWT-based authentication and Role-Based Access Control (RBAC).","Phase 2: Backend Core Architecture","High","50h","","New","","","0%","","","","","","","","","auth,rbac","",""
"Feature: JWT Authentication","Feature","Implement JWT strategy and guard for securing API endpoints.","Epic: Authentication & Authorization","High","20h","","New","","","0%","","","","","","","","","auth,jwt","",""
"Task: Implement AuthPort and AuthAdapter","Task","Define the interface for authentication and its implementation.

# Low-Level Design (LLD)
## Port
`packages/backend/src/ports/auth.port.ts`
- `validateUser(credentials): Promise<User>`
- `generateToken(user): string`

## Adapter
`packages/backend/src/adapters/auth/jwt.adapter.ts`
- Uses `@nestjs/jwt`

# Definition of Done (DOD)
- [ ] Port defined
- [ ] Adapter implemented
- [ ] Unit tests for token generation","Feature: JWT Authentication","Normal","8h","","New","","","0%","","","","","JWT tokens generated and validated","Auth requirements defined","Implement port and adapter","NO MOCKS: Use real JWT libraries.","","auth,port",""
"Epic: Event-Driven Core","Epic","Implement the core event bus using Redis Pub/Sub.","Phase 2: Backend Core Architecture","High","40h","","New","","","0%","","","","","","","","","events,redis","",""
"Feature: Redis Event Bus","Feature","Implement a generic event bus adapter using Redis.","Epic: Event-Driven Core","High","20h","","New","","","0%","","","","","","","","","events,bus","",""
"Task: Implement EventBusPort and RedisEventBusAdapter","Task","Define the interface for event publishing and subscribing.

# Low-Level Design (LLD)
## Port
`packages/backend/src/ports/event-bus.port.ts`
- `publish(event: DomainEvent): Promise<void>`
- `subscribe(eventName: string, handler: Function): void`

## Adapter
`packages/backend/src/adapters/events/redis-event-bus.adapter.ts`
- Uses `ioredis`

# Definition of Done (DOD)
- [ ] Port defined
- [ ] Adapter implemented
- [ ] Integration test with Redis container","Feature: Redis Event Bus","Normal","8h","","New","","","0%","","","","","Events published and received via Redis","Event schema defined","Implement port and adapter","NO MOCKS: Use real ioredis client.","","events,adapter",""
"Epic: Database Integration","Epic","Implement the database adapter using TypeORM.","Phase 2: Backend Core Architecture","High","40h","","New","","","0%","","","","","","","","","db,typeorm","",""
"Feature: TypeORM Configuration","Feature","Set up TypeORM with PostgreSQL and migrations.","Epic: Database Integration","High","15h","","New","","","0%","","","","","","","","","db,config","",""
"Task: Create DatabasePort and TypeORMAdapter","Task","Define the interface for database operations.

# Low-Level Design (LLD)
## Port
`packages/backend/src/ports/database.port.ts`
- `save<T>(entity: T): Promise<T>`
- `find<T>(criteria: any): Promise<T[]>`

## Adapter
`packages/backend/src/adapters/db/typeorm.adapter.ts`

# Definition of Done (DOD)
- [ ] Port defined
- [ ] Adapter implemented
- [ ] Initial migration for 'User' table created","Feature: TypeORM Configuration","Normal","8h","","New","","","0%","","","","","DB operations work via adapter","Entity models defined","Implement port and adapter","NO MOCKS: Use real TypeORM decorators.","","db,adapter",""
