Subject,Type,Description,Parent,Priority,Estimated time,Assignee,Status,Start date,Finish date,Progress,Responsible,Accountable,Consulted,Informed,Acceptance Criteria,Definition of Ready,Definition of Done,AI Agent Instructions,Notes,Tags,Custom Field 1
"Phase 11: Billing, Rating & Usage Tracking","Phase","Implement the billing and rating engine for usage-based charging.

# High-Level Design (HLD)
- CDR (Call Detail Record) processing
- Rating engine (Price calculation based on destination/duration)
- Wallet and balance management
- Invoicing and payment gateway integration
- Usage-based batch rating (Phase 1 constraint)

# Architecture Decisions
- Process CDRs in batches for rating
- Use a separate database or schema for billing data
- Implement a flexible rating rule engine
- Integrate with external payment providers (Stripe, etc.)

# Deliverables
- packages/backend/src/services/billing.service.ts
- Rating engine implementation
- Invoicing service
- Billing dashboard for admins","","High","250h","","New","","","0%","","","","","","","","","billing,phase11","",""
"Epic: CDR Processing & Storage","Epic","Implement the system for collecting and storing Call Detail Records.","Phase 11: Billing, Rating & Usage Tracking","High","50h","","New","","","0%","","","","","","","","","cdr,storage","",""
"Feature: CDR Collection Service","Feature","Develop a service to collect CDRs from Asterisk and store them in PostgreSQL.","Epic: CDR Processing & Storage","High","25h","","New","","","0%","","","","","","","","","cdr,collection","",""
"Task: Implement CdrService in Backend","Task","Create a service to process and store CDR data.

# Low-Level Design (LLD)
## Logic
- Listen for `Cdr` events from Asterisk (via ARI or CEL)
- Map Asterisk CDR fields to internal `CallRecord` model
- Save to `call_records` table in PostgreSQL

# Definition of Done (DOD)
- [ ] Service correctly parses Asterisk CDR data
- [ ] Records are successfully saved to the database
- [ ] Unit tests for CDR mapping logic","Feature: CDR Collection Service","Normal","12h","","New","","","0%","","","","","CDRs are stored accurately","CDR schema defined","Implement service class","NO MOCKS: Use real DB integration.","","cdr,service",""
"Epic: Rating Engine Implementation","Epic","Develop the engine for calculating costs based on CDRs and rating rules.","Phase 11: Billing, Rating & Usage Tracking","High","70h","","New","","","0%","","","","","","","","","rating,engine","",""
"Feature: Rating Rule Engine","Feature","Implement a flexible engine for defining and applying rating rules.","Epic: Rating Engine Implementation","High","35h","","New","","","0%","","","","","","","","","rating,rules","",""
"Task: Implement RatingService","Task","Create a service to calculate the cost of a call based on its destination and duration.

# Low-Level Design (LLD)
## Logic
- Look up the rate for the destination prefix
- Calculate cost: `duration * rate`
- Apply minimum duration and connection fees if applicable

# Definition of Done (DOD)
- [ ] Service calculates costs correctly for various destinations
- [ ] Handles different currencies and rounding rules
- [ ] Unit tests with a comprehensive set of rating rules","Feature: Rating Rule Engine","Normal","16h","","New","","","0%","","","","","Costs are calculated accurately","Rating rules defined","Implement service class","NO MOCKS: Use real mathematical logic.","","rating,service",""
"Phase 12: Quality Management & Coaching","Phase","Implement tools for quality assurance, agent coaching, and evaluation.

# High-Level Design (HLD)
- Call evaluation forms
- Agent coaching workflows
- Screen recording integration
- Quality scorecards and reporting
- Calibration tools for supervisors

# Architecture Decisions
- Use a flexible form builder for evaluation forms
- Integrate screen recording with call recordings
- Implement a workflow for agent feedback and acknowledgement
- Centralized quality dashboard

# Deliverables
- packages/web/src/pages/supervisor/quality
- packages/backend/src/services/quality.service.ts
- Evaluation form builder
- Coaching workflow implementation","","Normal","200h","","New","","","0%","","","","","","","","","quality,coaching,phase12","",""
"Epic: Call Evaluation System","Epic","Develop the system for evaluating calls using custom forms.","Phase 12: Quality Management & Coaching","High","60h","","New","","","0%","","","","","","","","","evaluation,forms","",""
"Feature: Evaluation Form Builder","Feature","Implement a UI for supervisors to create custom evaluation forms.","Epic: Call Evaluation System","High","30h","","New","","","0%","","","","","","","","","forms,builder","",""
