Subject,Type,Description,Parent,Priority,Estimated time,Assignee,Status,Start date,Finish date,Progress,Responsible,Accountable,Consulted,Informed,Acceptance Criteria,Definition of Ready,Definition of Done,AI Agent Instructions,Notes,Tags,Custom Field 1
"Phase 8: IVR & Visual Flow Builder","Phase","Develop a visual IVR and call flow builder.

# High-Level Design (HLD)
- Drag-and-drop flow builder UI (e.g., React Flow)
- Server-side flow execution engine
- Integration with Asterisk dialplan/ARI
- Support for DTMF, Playback, Record, and Branching
- Dynamic data lookup (API nodes)

# Architecture Decisions
- Use a JSON-based flow definition format
- Implement a stateless flow execution engine
- Use ARI for real-time flow control in Asterisk
- Provide a library of pre-built flow nodes

# Deliverables
- packages/web/src/pages/admin/flow-builder
- packages/backend/src/services/flow-engine.service.ts
- Visual flow builder UI
- Flow execution engine","","High","300h","","New","","","0%","","","","","","","","","ivr,flowbuilder,phase8","",""
"Epic: Visual Flow Builder UI","Epic","Develop the drag-and-drop UI for building call flows.","Phase 8: IVR & Visual Flow Builder","High","80h","","New","","","0%","","","","","","","","","ui,flowbuilder","",""
"Feature: Flow Canvas Implementation","Feature","Create the main canvas for building call flows using React Flow.","Epic: Visual Flow Builder UI","High","40h","","New","","","0%","","","","","","","","","flow,canvas","",""
"Task: Implement FlowCanvas component","Task","Create the React component for the flow builder canvas.

# Low-Level Design (LLD)
## Functionality
- Drag and drop nodes from a sidebar
- Connect nodes with edges
- Save/Load flow as JSON
- Node property editor sidebar

# Definition of Done (DOD)
- [ ] Canvas renders correctly with React Flow
- [ ] Nodes can be added, moved, and connected
- [ ] Flow JSON is correctly generated on save","Feature: Flow Canvas Implementation","Normal","16h","","New","","","0%","","","","","Canvas allows building complex flows","React Flow library integrated","Implement React component","NO MOCKS: Use real React Flow library.","","flow,ui,canvas",""
"Epic: Flow Execution Engine","Epic","Implement the server-side engine for executing call flows.","Phase 8: IVR & Visual Flow Builder","High","80h","","New","","","0%","","","","","","","","","engine,flow","",""
"Feature: Flow Interpreter","Feature","Develop the logic to interpret and execute the flow JSON.","Epic: Flow Execution Engine","High","40h","","New","","","0%","","","","","","","","","flow,interpreter","",""
"Task: Implement FlowEngineService","Task","Create a service to execute flow nodes in sequence.

# Low-Level Design (LLD)
## Logic
- Receive ARI events for a channel
- Look up the current node in the flow
- Execute node action (e.g., `play_audio`, `get_dtmf`)
- Transition to the next node based on result

# Definition of Done (DOD)
- [ ] Engine can execute a simple 'Play & Hangup' flow
- [ ] Engine handles branching based on DTMF input
- [ ] Error handling for invalid flow states","Feature: Flow Interpreter","Normal","20h","","New","","","0%","","","","","Engine executes flows correctly","Flow JSON schema defined","Implement service class","NO MOCKS: Use real ARI integration.","","flow,engine,service",""
"Phase 9: Multi-channel Integration","Phase","Integrate SMS, Email, and WhatsApp into the agent desktop.

# High-Level Design (HLD)
- Unified inbox for all channels
- SMS integration (Twilio/Plivo)
- Email integration (SMTP/IMAP)
- WhatsApp Business API integration
- Shared contact history across channels

# Architecture Decisions
- Use a generic 'Message' model for all non-voice channels
- Implement channel-specific adapters
- Centralized message routing and assignment
- Real-time message delivery via WebSockets

# Deliverables
- packages/backend/src/services/messaging.service.ts
- Channel adapters (SMS, Email, WhatsApp)
- Unified inbox UI in the agent desktop","","Normal","300h","","New","","","0%","","","","","","","","","multichannel,phase9","",""
"Epic: Unified Messaging Core","Epic","Implement the core messaging system and unified inbox logic.","Phase 9: Multi-channel Integration","High","70h","","New","","","0%","","","","","","","","","messaging,core","",""
"Feature: Messaging Adapter Pattern","Feature","Define the interface and base class for messaging channel adapters.","Epic: Unified Messaging Core","High","20h","","New","","","0%","","","","","","","","","messaging,adapter","",""
"Task: Define MessagingProvider interface","Task","Create the interface for all messaging channels.

# Low-Level Design (LLD)
## Methods
- `sendMessage(to, content): Promise<string>`
- `receiveMessage(payload): Promise<Message>`
- `getStatus(messageId): Promise<Status>`

# Definition of Done (DOD)
- [ ] Interface defined with all core methods
- [ ] TypeScript types for Message and Status defined
- [ ] Documentation comments for each method","Feature: Messaging Adapter Pattern","Normal","6h","","New","","","0%","","","","","Interface covers all messaging actions","Messaging requirements defined","Create interface file","NO MOCKS: Use real TS interfaces.","","messaging,port",""
"Phase 10: AI & Automation","Phase","Implement AI-driven features like Speech-to-Text, Chatbots, and Sentiment Analysis.

# High-Level Design (HLD)
- Real-time Speech-to-Text (STT) for call transcription
- Natural Language Processing (NLP) for chatbots
- Sentiment analysis for live calls and messages
- AI-driven agent assistance (Next Best Action)

# Architecture Decisions
- Use cloud AI services (OpenAI, Google Cloud AI, AWS)
- Implement a generic AI adapter interface
- Process audio streams in real-time for STT
- Use vector databases for AI knowledge base

# Deliverables
- packages/backend/src/services/ai.service.ts
- AI adapters (STT, NLP, Sentiment)
- Real-time transcription UI
- Chatbot integration","","Normal","350h","","New","","","0%","","","","","","","","","ai,automation,phase10","",""
"Epic: Real-time Transcription (STT)","Epic","Implement real-time speech-to-text for live call monitoring and transcription.","Phase 10: AI & Automation","High","80h","","New","","","0%","","","","","","","","","stt,realtime","",""
"Feature: STT Adapter Implementation","Feature","Implement an adapter for a real-time STT service (e.g., Google Cloud Speech).","Epic: Real-time Transcription (STT)","High","40h","","New","","","0%","","","","","","","","","stt,adapter","",""
"Task: Implement GoogleSttAdapter","Task","Create the implementation of STT using Google Cloud Speech-to-Text.

# Low-Level Design (LLD)
## Logic
- Stream audio from Asterisk (via External Media or LVA)
- Send audio chunks to Google STT via gRPC/WebSocket
- Emit transcription events to the backend

# Definition of Done (DOD)
- [ ] Adapter successfully streams audio to Google
- [ ] Real-time transcriptions are received and logged
- [ ] Latency is within acceptable limits (< 500ms)","Feature: STT Adapter Implementation","Normal","16h","","New","","","0%","","","","","Transcriptions are accurate and timely","Google Cloud credentials ready","Implement adapter class","NO MOCKS: Use real Google Cloud SDK.","","stt,google,adapter",""
