Subject,Type,Description,Parent,Priority,Estimated time,Assignee,Status,Start date,Finish date,Progress,Responsible,Accountable,Consulted,Informed,Acceptance Criteria,Definition of Ready,Definition of Done,AI Agent Instructions,Notes,Tags,Custom Field 1
"Phase 5: Supervisor Dashboard & Real-time Monitoring","Phase","Develop the supervisor dashboard for real-time monitoring and team management.

# High-Level Design (HLD)
- Real-time wallboards for team performance
- Live call monitoring (Silent monitoring, Whisper, Barge-in)
- Agent status management (Force status change)
- Historical reporting and analytics
- Alerting and notifications for KPIs

# Architecture Decisions
- Use WebSockets for real-time wallboard updates
- Implement Asterisk ChanSpy for live monitoring
- Use Redis for real-time state aggregation
- Role-based access control for supervisor actions

# Deliverables
- packages/web/src/pages/supervisor
- packages/backend/src/services/monitoring.service.ts
- Real-time wallboard components
- Live monitoring control panel","","High","250h","","New","","","0%","","","","","","","","","supervisor,phase5","",""
"Epic: Real-time Wallboards","Epic","Implement real-time wallboards for monitoring team and queue performance.","Phase 5: Supervisor Dashboard & Real-time Monitoring","High","60h","","New","","","0%","","","","","","","","","wallboard,realtime","",""
"Feature: Wallboard UI Components","Feature","Develop the UI components for displaying real-time metrics.","Epic: Real-time Wallboards","High","20h","","New","","","0%","","","","","","","","","wallboard,ui","",""
"Task: Create QueueStatus component","Task","Component to display real-time queue statistics.

# Low-Level Design (LLD)
## Metrics
- Calls Waiting
- Longest Wait Time
- Agents Available/Busy
- Service Level (SL)

# Definition of Done (DOD)
- [ ] Component implemented with Tailwind CSS
- [ ] Updates in real-time via WebSocket events
- [ ] Visual indicators for KPI breaches (e.g., red if SL < 80%)","Feature: Wallboard UI Components","Normal","8h","","New","","","0%","","","","","Component displays live data","KPI thresholds defined","Implement React component","NO MOCKS: Use real live data streams.","","wallboard,queue",""
"Epic: Live Call Monitoring","Epic","Implement silent monitoring, whisper, and barge-in capabilities.","Phase 5: Supervisor Dashboard & Real-time Monitoring","High","70h","","New","","","0%","","","","","","","","","monitoring,chanspy","",""
"Feature: ChanSpy Integration","Feature","Integrate Asterisk ChanSpy for live call monitoring.","Epic: Live Call Monitoring","High","30h","","New","","","0%","","","","","","","","","chanspy,asterisk","",""
"Task: Implement MonitoringService in Backend","Task","Create a service to manage ChanSpy sessions via ARI.

# Low-Level Design (LLD)
## File Path
`packages/backend/src/services/monitoring.service.ts`

## Methods
- `startMonitoring(supervisorId, agentId, mode)`
- `stopMonitoring(supervisorId)`

## Modes
- `spy`: Silent monitoring
- `whisper`: Supervisor talks to agent only
- `barge`: Supervisor talks to both

# Definition of Done (DOD)
- [ ] Service initiates ChanSpy via ARI
- [ ] Supervisor audio stream is correctly routed
- [ ] Mode switching works in real-time","Feature: ChanSpy Integration","Normal","12h","","New","","","0%","","","","","Supervisor can hear live calls","ARI permissions for ChanSpy ready","Implement service class","NO MOCKS: Use real ARI ChanSpy commands.","","chanspy,service",""
"Epic: Agent Management Tools","Epic","Implement tools for supervisors to manage agent statuses and assignments.","Phase 5: Supervisor Dashboard & Real-time Monitoring","Normal","40h","","New","","","0%","","","","","","","","","management,agent","",""
"Feature: Remote Status Control","Feature","Allow supervisors to change an agent's status remotely.","Epic: Agent Management Tools","High","15h","","New","","","0%","","","","","","","","","status,control","",""
"Task: Implement forceStatusChange API","Task","Create an API endpoint for supervisors to force an agent's status.

# Low-Level Design (LLD)
## Endpoint
`POST /api/v1/supervisor/agents/:id/status`

## Logic
1. Validate supervisor permissions
2. Update agent status in Redis/DB
3. Emit `agent:status_changed` event via WebSocket to the agent's client

# Definition of Done (DOD)
- [ ] API endpoint implemented and secured
- [ ] Agent's client updates status immediately upon receiving event
- [ ] Audit log entry created for the change","Feature: Remote Status Control","Normal","6h","","New","","","0%","","","","","Agent status updates remotely","RBAC rules for supervisors defined","Implement API and event logic","NO MOCKS: Use real WebSocket emission.","","status,api",""
