Subject,Type,Description,Parent,Priority,Estimated time,Assignee,Status,Start date,Finish date,Progress,Responsible,Accountable,Consulted,Informed,Acceptance Criteria,Definition of Ready,Definition of Done,AI Agent Instructions,Notes,Tags,Custom Field 1
"Phase 6: Mobile Companion App","Phase","Develop the React Native mobile app for supervisors and agents.

# High-Level Design (HLD)
- React Native with TypeScript
- Shared core logic with web via /packages/core
- Push notifications for alerts and calls
- Basic call handling (Answer, Hangup)
- Real-time status monitoring for supervisors

# Architecture Decisions
- Share 70% of logic with web (API clients, models, state management)
- Use Firebase Cloud Messaging (FCM) for push notifications
- Implement a simplified UI for mobile use cases
- Focus on supervisor monitoring and agent status management

# Deliverables
- packages/mobile/src
- Shared logic in packages/core
- Push notification service integration
- Mobile-specific UI components","","Normal","250h","","New","","","0%","","","","","","","","","mobile,phase6","",""
"Epic: Mobile Project Scaffolding","Epic","Set up the React Native project and shared logic integration.","Phase 6: Mobile Companion App","High","40h","","New","","","0%","","","","","","","","","mobile,scaffolding","",""
"Feature: Shared Core Integration","Feature","Integrate the shared core logic from /packages/core into the mobile app.","Epic: Mobile Project Scaffolding","High","20h","","New","","","0%","","","","","","","","","core,shared","",""
"Task: Configure monorepo for React Native","Task","Set up the mobile package to consume shared logic from the core package.

# Low-Level Design (LLD)
## Configuration
- Update `metro.config.js` to resolve packages from `../core`
- Update `tsconfig.json` for path aliases

# Definition of Done (DOD)
- [ ] Mobile app can import and use a model from `@psynq/core`
- [ ] Metro bundler successfully resolves shared dependencies","Feature: Shared Core Integration","Normal","8h","","New","","","0%","","","","","Shared logic is accessible in mobile","Core package is built and ready","Update Metro and TS config","NO MOCKS: Use real monorepo patterns.","","mobile,monorepo",""
"Epic: Mobile Push Notifications","Epic","Implement push notifications for real-time alerts and incoming calls.","Phase 6: Mobile Companion App","High","50h","","New","","","0%","","","","","","","","","push,fcm","",""
"Feature: FCM Integration","Feature","Integrate Firebase Cloud Messaging for push notifications.","Epic: Mobile Push Notifications","High","25h","","New","","","0%","","","","","","","","","fcm,push","",""
"Task: Implement PushNotificationService in Mobile","Task","Create a service to handle incoming FCM messages.

# Low-Level Design (LLD)
## Logic
- Register device token with backend
- Handle background and foreground notifications
- Trigger local notifications for incoming calls

# Definition of Done (DOD)
- [ ] Device token successfully sent to backend
- [ ] Notification displayed when app is in background
- [ ] Tapping notification opens the app to the correct screen","Feature: FCM Integration","Normal","12h","","New","","","0%","","","","","Notifications received on device","Firebase project configured","Implement service class","NO MOCKS: Use real FCM library.","","mobile,push,service",""
"Phase 7: Predictive Dialer & Campaign Management","Phase","Implement the predictive dialer and campaign management system.

# High-Level Design (HLD)
- Predictive dialing algorithm (Pacing)
- Campaign management (Start, Stop, Pause, Schedule)
- Lead management and list importing
- Answering Machine Detection (AMD)
- Disposition management

# Architecture Decisions
- Implement the dialer as a separate service or module
- Use a mathematical model for predictive pacing (e.g., Erlang-C based)
- Integrate with Asterisk AMD for filtering non-human calls
- Use Redis for real-time lead queue management

# Deliverables
- packages/backend/src/services/dialer.service.ts
- packages/backend/src/services/campaign.service.ts
- Dialer pacing algorithm implementation
- Campaign management UI","","High","350h","","New","","","0%","","","","","","","","","dialer,phase7","",""
"Epic: Dialer Core Engine","Epic","Implement the core dialing engine and pacing algorithm.","Phase 7: Predictive Dialer & Campaign Management","High","80h","","New","","","0%","","","","","","","","","dialer,engine","",""
"Feature: Predictive Pacing Algorithm","Feature","Develop the algorithm that determines how many calls to place.","Epic: Dialer Core Engine","High","40h","","New","","","0%","","","","","","","","","dialer,pacing","",""
"Task: Implement PacingService","Task","Create a service to calculate the dialing rate based on agent availability and drop rate.

# Low-Level Design (LLD)
## Inputs
- Number of available agents
- Average Talk Time (ATT)
- Target Drop Rate (e.g., < 3%)
- Current connect rate

## Output
- Number of calls to originate in the next interval

# Definition of Done (DOD)
- [ ] Algorithm implemented in pure TypeScript
- [ ] Unit tests with various scenarios (high/low connect rates)
- [ ] Integration with Redis for real-time metric retrieval","Feature: Predictive Pacing Algorithm","Normal","16h","","New","","","0%","","","","","Algorithm calculates correct pacing","Pacing model defined","Implement service class","NO MOCKS: Use real mathematical models.","","dialer,pacing,logic",""
"Epic: Campaign Management System","Epic","Develop the system for creating and managing outbound campaigns.","Phase 7: Predictive Dialer & Campaign Management","High","70h","","New","","","0%","","","","","","","","","campaign,management","",""
"Feature: Campaign CRUD & Control","Feature","Implement API and UI for managing campaigns.","Epic: Campaign Management System","High","30h","","New","","","0%","","","","","","","","","campaign,api","",""
"Task: Implement CampaignController","Task","Create the REST API for campaign management.

# Low-Level Design (LLD)
## Endpoints
- `POST /api/v1/campaigns`: Create
- `PATCH /api/v1/campaigns/:id/status`: Start/Stop/Pause
- `GET /api/v1/campaigns/:id/stats`: Real-time stats

# Definition of Done (DOD)
- [ ] API endpoints implemented and secured
- [ ] Campaign status changes trigger dialer start/stop
- [ ] Stats endpoint returns live data from Redis","Feature: Campaign CRUD & Control","Normal","12h","","New","","","0%","","","","","Campaigns can be managed via API","Campaign schema defined","Implement controller and service","NO MOCKS: Use real DB and Redis integration.","","campaign,controller",""
