Subject,Type,Project,Parent,Priority,Status,Start date,Due date,Assignee,Estimated time,Labels,Version,Story Points,Risk Level,Definition of Ready,Definition of Done,Acceptance Criteria,Success Metrics,External Dependencies,Rollback Plan,Description,% Complete,Role,AI Agent Instructions
Phase: Infrastructure & Platform,Phase,Psitrix Psynq,,High,New,2026-01-15,2026-02-14,Tech Lead,,,v1.0.0-MVP,,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,Core Infrastructure,0,Developer,
Epic: Database Setup,Epic,Psitrix Psynq,Phase: Infrastructure & Platform,High,New,2026-01-15,2026-01-29,Tech Lead,,,v1.0.0-MVP,,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,PostgreSQL HA Setup,0,Developer,
Feature: PostgreSQL Cluster,Feature,Psitrix Psynq,Epic: Database Setup,High,New,2026-01-15,2026-01-22,Developer,,,v1.0.0-MVP,,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,Primary-Replica Setup,0,Product Owner / Architect,"Act as a Solution Architect. Define the technical specifications and sub-tasks for 'Feature: PostgreSQL Cluster'. Ensure alignment with the CCaaS platform goals (reliability, scalability, low latency)."
Configure Primary Node,Task,Psitrix Psynq,Feature: PostgreSQL Cluster,High,New,2026-01-15,2026-01-16,Developer,4h,,v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"File: deploy/db/postgresql.conf
Settings: max_connections=1000, shared_buffers=4GB",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Configure Primary Node'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Configure Replica Node,Task,Psitrix Psynq,Feature: PostgreSQL Cluster,High,New,2026-01-15,2026-01-16,Developer,4h,,v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"File: deploy/db/replica.conf
Settings: hot_standby=on",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Configure Replica Node'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Setup PgPool-II,Task,Psitrix Psynq,Feature: PostgreSQL Cluster,High,New,2026-01-16,2026-01-18,Developer,4h,,v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"File: deploy/db/pgpool.conf
Load balancing and failover",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Setup PgPool-II'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Implement Backup Script,Task,Psitrix Psynq,Feature: PostgreSQL Cluster,High,New,2026-01-17,2026-01-19,Developer,4h,,v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"File: scripts/backup-db.sh
Full and incremental backups to MinIO",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Implement Backup Script'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Phase: Backend Core Services,Phase,Psitrix Psynq,,High,New,2026-01-30,2026-03-16,Tech Lead,,,v1.0.0-MVP,,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,NestJS Core,0,Developer,
Epic: Authentication,Epic,Psitrix Psynq,Phase: Backend Core Services,High,New,2026-01-30,2026-02-19,Tech Lead,,,v1.0.0-MVP,,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,Auth System,0,Developer,
Feature: User Management,Feature,Psitrix Psynq,Epic: Authentication,High,New,2026-01-30,2026-02-09,Developer,,,v1.0.0-MVP,,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,User CRUD,0,Product Owner / Architect,"Act as a Solution Architect. Define the technical specifications and sub-tasks for 'Feature: User Management'. Ensure alignment with the CCaaS platform goals (reliability, scalability, low latency)."
Define Entity: User,Task,Psitrix Psynq,Feature: User Management,High,New,2026-01-30,2026-02-01,Developer,4h,"Backend,Database",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/users/entities/user.entity.ts`
**Class:** `User`
**Type:** TypeORM Entity
**Requirements:**
- Define columns with exact types (varchar, int, jsonb)
- Define relationships (OneToMany, ManyToOne)
- Add indexes for performance
- NO MOCKS: Use real DB connection",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Define Entity: User'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Create DTOs: User,Task,Psitrix Psynq,Feature: User Management,Normal,New,2026-01-30,2026-01-31,Developer,4h,"Backend,API",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/users/dto/create-user.dto.ts`
**File:** `packages/backend/src/modules/users/dto/update-user.dto.ts`
**Requirements:**
- Use class-validator decorators (@IsString, @IsInt)
- Use class-transformer
- Strict typing",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Create DTOs: User'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Implement Service: UserService,Task,Psitrix Psynq,Feature: User Management,High,New,2026-01-31,2026-02-03,Developer,4h,Backend,v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/users/user.service.ts`
**Class:** `UserService`
**Methods:**
- `create(dto)`
- `findAll(query)`
- `findOne(id)`
- `update(id, dto)`
- `remove(id)`
**Logic:** Business logic implementation. NO STUBS.",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Implement Service: UserService'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Implement Controller: UserController,Task,Psitrix Psynq,Feature: User Management,High,New,2026-02-01,2026-02-03,Developer,4h,"Backend,API",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/backend/src/modules/users/user.controller.ts`
**Class:** `UserController`
**Endpoints:**
- `POST /api/v1/users`
- `GET /api/v1/users`
- `GET /api/v1/users/:id`
- `PATCH /api/v1/users/:id`
- `DELETE /api/v1/users/:id`
**Requirements:** Swagger docs (@ApiTags), Auth guards",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Implement Controller: UserController'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
